title,price,location,beds,baths,area,url,property_type,purpose,creation_date
"Modern Villa With Double Heighten Lounge, Lobby & Entrance Door For Sale Near DHA RAYA Ph. 6. LHR",11.75 Crore,"DHA Phase 7, DHA Defence",5,6,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_7_modern_villa_with_double_heighten_lounge_lobby_entrance_door_for_sale_near_dha_raya_ph_6_lhr-54389354-1450-1.html,House,For Sale,3 days ago
REASONABLE 3 MARLA HOUSE FOR SALE | AL-KABIR TOWN PHASE 2,1.2 Crore,"Al-Kabir Town - Phase 2, Al-Kabir Town",3,4,3 Marla,https://www.zameen.com/Property/al_kabir_town_al-kabir_town_-_phase_2_reasonable_3_marla_house_for_sale_al-kabir_town_phase_2-54425394-11704-1.html,House,For Sale,11 hours ago
3 MARLA BRAND NEW HOUSE AVAILABLE FOR SALE IN EASY 3 YEAR INSTALLMENT | MARYAM TOWN,1.3 Crore,"Maryam Town - Block B, Maryam Town",4,5,3 Marla,https://www.zameen.com/Property/maryam_town_maryam_town_-_block_b_3_marla_brand_new_house_available_for_sale_in_easy_3_year_installment_maryam_town-54441751-20058-1.html,House,For Sale,11 hours ago
3 Bed New Apartment Is Available For Sale,3 Crore,"Askari 11, Askari",3,4,10 Marla,https://www.zameen.com/Property/askari_askari_11_3_bed_new_apartment_is_available_for_sale-54071296-1503-1.html,Flat,For Sale,15 hours ago
Luxury 3 Bed Apartment Available For Sale In Askari 11 Sector D,3.5 Crore,"Askari 11 - Sector D, Askari 11",3,4,10 Marla,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_luxury_3_bed_apartment_available_for_sale_in_askari_11_sector_d-54237176-21437-1.html,Flat,For Sale,15 hours ago
Flat For sale In Lahore,4 Crore,"Askari 12, DHA Phase 9 Prism",4,5,13 Marla,https://www.zameen.com/Property/dha_phase_9_prism_askari_12_flat_for_sale_in_lahore-54243823-22537-1.html,Flat,For Sale,15 hours ago
2.5 Marla House On Bank Loan & House Will B Completed Till 15th August ( It'S Situated Beside Punjab Uni-2 Society ),1.25 Crore,"Punjab University Society Phase 2, Punjab University Employees Society",3,4,2.5 Marla,https://www.zameen.com/Property/punjab_university_employees_society_punjab_university_society_phase_2_2_5_marla_house_on_bank_loan_house_will_b_completed_till_15th_august_it_s_situated_beside_punjab_uni-2_society-54420130-12804-1.html,House,For Sale,15 hours ago
Ideal Facing Park House In Lahore Available For Rs. 27500000,2.75 Crore,"Pak Arab Society Phase 2 - Block E, Pak Arab Housing Society Phase 2",4,5,5 Marla,https://www.zameen.com/Property/pak_arab_housing_society_phase_2_pak_arab_society_phase_2_-_block_e_ideal_facing_park_house_in_lahore_available_for_rs_27500000-54207298-8248-1.html,House,For Sale,15 hours ago
"Ultra Modern 5 Marla House For Sale In Bahria Town Lahore, Gulbahar Block",2.13 Crore,"Bahria Town - Gulbahar Block, Bahria Town - Sector C",4,5,5 Marla,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_gulbahar_block_ultra_modern_5_marla_house_for_sale_in_bahria_town_lahore_gulbahar_block-54288421-1793-1.html,House,For Sale,10 hours ago
Used House Prime Location near to Park,7.5 Crore,"DHA Phase 6 - Block E, DHA Phase 6",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_e_used_house_prime_location_near_to_park-54322389-1614-1.html,House,For Sale,10 hours ago
"5 Marla Luxury House For Sale In Bahria Town Lahore, Tulip Block",2 Crore,"Bahria Town - Tulip Block, Bahria Town - Sector C",4,5,5 Marla,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_tulip_block_5_marla_luxury_house_for_sale_in_bahria_town_lahore_tulip_block-54298923-1789-1.html,House,For Sale,10 hours ago
"5 Marla Luxury House For Sale In Bahria Town Lahore, Sector C",2.1 Crore,"Bahria Town - Tulip Block, Bahria Town - Sector C",4,5,5 Marla,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_tulip_block_5_marla_luxury_house_for_sale_in_bahria_town_lahore_sector_c-54304782-1789-1.html,House,For Sale,10 hours ago
Studio Apartment for Sale Near Doctors Hospital Best for Rental Income,40 Lakh,"Johar Town Phase 1 - Block G1, Johar Town Phase 1",N/A,1,1.3 Marla,https://www.zameen.com/Property/johar_town_phase_1_johar_town_phase_1_-_block_g1_studio_apartment_for_sale_near_doctors_hospital_best_for_rental_income-54452134-3959-1.html,Flat,For Sale,10 hours ago
1 Kanal Top Quality Build Luxurious Beautiful Spanish Design Villa For Sale In DHA Lahore Phase 7 Prime Location,7.05 Crore,"DHA Phase 7 - Block V, DHA Phase 7",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_v_1_kanal_top_quality_build_luxurious_beautiful_spanish_design_villa_for_sale_in_dha_lahore_phase_7_prime_location-54120286-1629-1.html,House,For Sale,10 hours ago
ARCHITECTURAL MASTERPIECE! STUNNING 1 KANAL HOUSE FOR SALE IN DHA PHASE 7,7.5 Crore,"DHA Phase 7 - Block X, DHA Phase 7",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_x_architectural_masterpiece_stunning_1_kanal_house_for_sale_in_dha_phase_7-54122960-1631-1.html,House,For Sale,10 hours ago
1 KANAL 70ft ROAD BRAND NEW EYE CATCHING ULTRA MODERN BUNGALOW FOR SALE NEAR TO RAYA IN LOW PRICE,7.5 Crore,"DHA Phase 7 - Block W, DHA Phase 7",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_w_1_kanal_70ft_road_brand_new_eye_catching_ultra_modern_bungalow_for_sale_near_to_raya_in_low_price-54123061-1630-1.html,House,For Sale,10 hours ago
1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa With Basement For Sale In DHA Lahore Phase 7 Prime Location Near To Park,8.35 Crore,"DHA Phase 7 - Block S, DHA Phase 7",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_s_1_kanal_top_quality_build_luxurious_beautiful_modern_design_villa_with_basement_for_sale_in_dha_lahore_phase_7_prime_location_near_to_park-52720499-1626-1.html,House,For Sale,4 days ago
Want To Buy A House In Lahore?,2.35 Crore,"Eden Boulevard Housing Scheme, College Road",5,5,5 Marla,https://www.zameen.com/Property/college_road_eden_boulevard_housing_scheme_want_to_buy_a_house_in_lahore-54380897-12447-1.html,House,For Sale,4 days ago
