title,price,location,beds,baths,area,url,property_type,purpose,creation_date
1 KANAL LAWN PLUS 1 KANAL BRAND NEW ULTRA MODERN FULLY FURNISHED LUXURY VILLA FOR SALE IN PHASE 6 NEAR TO RAYA.,14.45 Crore,"DHA Phase 6, DHA Defence",5,6,2 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_lawn_plus_1_kanal_brand_new_ultra_modern_fully_furnished_luxury_villa_for_sale_in_phase_6_near_to_raya-54333363-1448-1.html,House,For Sale,1 hour ago
One Kanal Brand New Luxury Ultra-Modern Design Most Beautiful Full Basement Fully Furnished Swimming Pool Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid & Defence Raya Fairways Commercial,16.5 Crore,"DHA Phase 6 - Block K, DHA Phase 6",6,7,1 Kanal,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_one_kanal_brand_new_luxury_ultra-modern_design_most_beautiful_full_basement_fully_furnished_swimming_pool_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_defence_raya_fairways_commercial-52744421-1619-1.html,House,For Sale,6 hours ago
Lavish 5 Marla House With Modern Interior For Sale In DHA Phase 6,2.69 Crore,"DHA Phase 6, DHA Defence",3,4,5 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_6_lavish_5_marla_house_with_modern_interior_for_sale_in_dha_phase_6-54220663-1448-1.html,House,For Sale,7 hours ago
Buying A House In Lahore?,4.7 Crore,"Askari 11, Askari",3,3,10 Marla,https://www.zameen.com/Property/askari_askari_11_buying_a_house_in_lahore-54452426-1503-1.html,House,For Sale,7 hours ago
Looking For A House In Lahore,8.5 Crore,"Askari 11, Askari",4,5,1 Kanal,https://www.zameen.com/Property/askari_askari_11_looking_for_a_house_in_lahore-54452427-1503-1.html,House,For Sale,7 hours ago
"Fully Furnished Apartments In Wapda Town Lowest Price, Highest Returns!",1.1 Crore,"Wapda Town, Lahore",2,2,3.9 Marla,https://www.zameen.com/Property/lahore_wapda_town_fully_furnished_apartments_in_wapda_town_lowest_price_highest_returns-54324466-423-1.html,Flat,For Sale,1 hour ago
Invest in Royal Swiss Hotel 15% Guaranteed Rental Return,57 Lakh,"Gulberg 3, Gulberg",1,1,1 Marla,https://www.zameen.com/Property/gulberg_gulberg_3_invest_in_royal_swiss_hotel_15_guaranteed_rental_return-54452697-3824-1.html,Flat,For Sale,2 hours ago
"Fully Furnished Swiss International Hotel Suites | Best ROI + 30 Free Vouchers | Earn Up to PKR 62,000 Monthly Rent Flat For Sale",60 Lakh,"Gulberg, Lahore",1,1,1.1 Marla,https://www.zameen.com/Property/lahore_gulberg_fully_furnished_swiss_international_hotel_suites_best_roi_30_free_vouchers_earn_up_to_pkr_62_000_monthly_rent_flat_for_sale-54341420-7-1.html,Flat,For Sale,2 hours ago
Own a Luxury Royal Swiss Hotel Suite & Earn 15% Guaranteed Annual Rental,45 Lakh,"Gulberg, Lahore",1,1,1.1 Marla,https://www.zameen.com/Property/lahore_gulberg_own_a_luxury_royal_swiss_hotel_suite_earn_15_guaranteed_annual_rental-54452671-7-1.html,House,For Sale,2 hours ago
1 Kanal Brand New Ultra Luxury Designer House | Prime DHA Location | Modern Elevation,11 Crore,"DHA Phase 6, DHA Defence",5,6,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_ultra_luxury_designer_house_prime_dha_location_modern_elevation-53680561-1448-1.html,House,For Sale,4 hours ago
"5 Marla Brand New Modern Design House For Sale In Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",1.75 Crore,"Park View City, Lahore",4,4,5 Marla,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_modern_design_house_for_sale_in_park_view_city_lahore_for_discounted_price_and_original_pictures_download_the_app_signature_lands-54242733-1466-1.html,House,For Sale,3 hours ago
One Kanal Ultra Modern Designer House For Sale DHA Phase 7 Nearest Defence Raya Fairways Prime Location Reasonable Price,9.35 Crore,"DHA Phase 7 - Block R, DHA Phase 7",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_r_one_kanal_ultra_modern_designer_house_for_sale_dha_phase_7_nearest_defence_raya_fairways_prime_location_reasonable_price-54452639-1625-1.html,House,For Sale,4 hours ago
7 Marla Brand New House Available For Sale in Lake City Lahore.,3.85 Crore,"Lake City, Raiwind Road",6,6,7 Marla,https://www.zameen.com/Property/raiwind_road_lake_city_7_marla_brand_new_house_available_for_sale_in_lake_city_lahore-54381177-1103-1.html,House,For Sale,24 minutes ago
Ultra-Modern 1 Kanal Luxury House for Sale in Bahria Town Lahore,8.7 Crore,"Bahria Town - Overseas B, Bahria Town - Overseas Enclave",5,6,1 Kanal,https://www.zameen.com/Property/bahria_town_overseas_enclave_bahria_town_-_overseas_b_ultra-modern_1_kanal_luxury_house_for_sale_in_bahria_town_lahore-54256171-1813-1.html,House,For Sale,46 minutes ago
5.79 Marla Brand New House For Sale (On Installments With POSESSION On 50% Payment) In Sector E Bahria Town Lahore.,2.65 Crore,"Bahria Town - Sector E, Bahria Town",4,5,5.8 Marla,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_5_79_marla_brand_new_house_for_sale_on_installments_with_posession_on_50_payment_in_sector_e_bahria_town_lahore-54186814-1802-1.html,House,For Sale,50 minutes ago
5 Marla Double Storey House For Sale Ramzan Choke Chungi Amber Sidhu Lahore,1.75 Crore,"Chungi Amar Sadhu, Lahore",4,6,5 Marla,https://www.zameen.com/Property/lahore_chungi_amar_sadhu_5_marla_double_storey_house_for_sale_ramzan_choke_chungi_amber_sidhu_lahore-53444969-1511-1.html,House,For Sale,1 hour ago
Golden Investment Opportunity! 12 Marla Double Story Luxury House for Sale in Muhafiz Town Phase 2 Ideal for High-Income Hostel Business or Luxury Living,3.75 Crore,"Mohafiz Town Phase 2, Mohafiz Town",5,5,12 Marla,https://www.zameen.com/Property/mohafiz_town_mohafiz_town_phase_2_golden_investment_opportunity_12_marla_double_story_luxury_house_for_sale_in_muhafiz_town_phase_2_ideal_for_high-income_hostel_business_or_luxury_living-54369504-1711-1.html,House,For Sale,2 hours ago
21 Marla Corner House Available For Sale In D-2 Block Johar Town Lahore.,8.5 Crore,"Johar Town Phase 1 - Block D2, Johar Town Phase 1",6,7,1 Kanal,https://www.zameen.com/Property/johar_town_phase_1_johar_town_phase_1_-_block_d2_21_marla_corner_house_available_for_sale_in_d-2_block_johar_town_lahore-54445916-3951-1.html,House,For Sale,21 minutes ago
5 Marla Brand New House Available For Sale In Lake City Lahore.,2.28 Crore,"Lake City, Raiwind Road",4,4,5 Marla,https://www.zameen.com/Property/raiwind_road_lake_city_5_marla_brand_new_house_available_for_sale_in_lake_city_lahore-54180680-1103-1.html,House,For Sale,23 minutes ago
3 Years Installment Plan Luxury 10 Marla Brand New House In Park View City Lahore,3.2 Crore,"Park View City, Lahore",5,6,10 Marla,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_10_marla_brand_new_house_in_park_view_city_lahore-54343155-1466-1.html,House,For Sale,24 minutes ago
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,1.6 Crore,"Park View City, Lahore",4,5,5 Marla,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_5_marla_brand_new_house_for_sale_in_park_view_city-54373649-1466-1.html,House,For Sale,25 minutes ago
3 Years Installment Plan Luxury 1.5 Story 5 Marla Brand New House In Park View City Lahore,1.55 Crore,"Park View City, Lahore",3,2,5 Marla,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_1_5_story_5_marla_brand_new_house_in_park_view_city_lahore-54407269-1466-1.html,House,For Sale,25 minutes ago
1 Kanal House Available For Sale In Fazaia Housing Scheme PH 1 Lahore.,6.9 Crore,"Fazaia Housing Scheme Phase 1, Fazaia Housing Scheme",5,6,1 Kanal,https://www.zameen.com/Property/fazaia_housing_scheme_fazaia_housing_scheme_phase_1_1_kanal_house_available_for_sale_in_fazaia_housing_scheme_ph_1_lahore-54272437-9238-1.html,House,For Sale,26 minutes ago
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,1.65 Crore,"Park View City, Lahore",4,5,5 Marla,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-54437644-1466-1.html,House,For Sale,26 minutes ago
3 Years Installment Plan Luxury 1.5 Story 5 Marla Brand New House In Park View City Lahore,1.4 Crore,"Park View City, Lahore",3,2,5 Marla,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_1_5_story_5_marla_brand_new_house_in_park_view_city_lahore-54407306-1466-1.html,House,For Sale,26 minutes ago
5.5 Marla Ultra Modern Beautiful Corner House For Sale In Al Haram Garden Near To Central Park Housing Society Lahore,1.5 Crore,"Al Haram Garden, Lahore",3,4,5.5 Marla,https://www.zameen.com/Property/lahore_al_haram_garden_5_5_marla_ultra_modern_beautiful_corner_house_for_sale_in_al_haram_garden_near_to_central_park_housing_society_lahore-54368937-9212-1.html,House,For Sale,8 hours ago
5 marla beautiful house for sale in central park housing society lahore,2.35 Crore,"Central Park Housing Scheme, Lahore",4,5,5 Marla,https://www.zameen.com/Property/lahore_central_park_housing_scheme_5_marla_beautiful_house_for_sale_in_central_park_housing_society_lahore-54397176-1013-1.html,House,For Sale,8 hours ago
DHA Phase 7 House Sized 1 Kanal Is Available,10 Crore,"DHA Phase 7, DHA Defence",5,6,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_7_dha_phase_7_house_sized_1_kanal_is_available-54452110-1450-1.html,House,For Sale,8 hours ago
100% Original Deal | DHA Phase 7 | 1 Kanal Brand New Ultramodern Luxury Bungalow | Architect: Mazhar Munir | Holizin Home Furniture | Top Notch Construction | Imported Tiles Architect World & Mona Lisa | Fully Furnished | Swimming Pool | 15 KV Solar System Installed | Hot Location Near Park & Mosque,7.75 Crore,"DHA Phase 7, DHA Defence",6,6,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_7_100_original_deal_dha_phase_7_1_kanal_brand_new_ultramodern_luxury_bungalow_architect_mazhar_munir_holizin_home_furniture_top_notch_construction_imported_tiles_architect_world_mona_lisa_fully_furnished_swimming_pool_15_kv_solar_system_installed_hot_location_near_park_mosque-51823517-1450-1.html,House,For Sale,8 hours ago
"Fully Renovated House For Sale In Sector-B, Askari-10",8.45 Crore,"Askari 10 - Sector B, Askari 10",5,6,13 Marla,https://www.zameen.com/Property/askari_10_askari_10_-_sector_b_fully_renovated_house_for_sale_in_sector-b_askari-10-54096714-9433-1.html,House,For Sale,9 hours ago
Brand New Luxury 1 Kanal Designer House | DHA Phase 6 | 5 Master Beds | Near Main Boulevard,17.75 Crore,"DHA Phase 6 - Block D, DHA Phase 6",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_d_brand_new_luxury_1_kanal_designer_house_dha_phase_6_5_master_beds_near_main_boulevard-54413509-1613-1.html,House,For Sale,4 hours ago
A Statement of Luxury. A Masterpiece of Modern Living,24 Crore,"DHA Phase 6 - Block K, DHA Phase 6",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_a_statement_of_luxury_a_masterpiece_of_modern_living-54413896-1619-1.html,House,For Sale,4 hours ago
Buying A House In Park View City - Tulip Block?,4.5 Crore,"Park View City - Tulip Block, Park View City",5,6,10.5 Marla,https://www.zameen.com/Property/park_view_city_park_view_city_-_tulip_block_buying_a_house_in_park_view_city_-_tulip_block-54444214-8465-1.html,House,For Sale,5 hours ago
Brand New Ultra Luxury Designer House | Grand Modern Elevation | Prime DHA Location,9 Crore,"DHA Phase 7, DHA Defence",5,7,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_7_brand_new_ultra_luxury_designer_house_grand_modern_elevation_prime_dha_location-54188650-1450-1.html,House,For Sale,5 hours ago
3 Years Installment Plan Luxury 1.5 Storey 5 Marla Brand New House In Park View City Lahore,1.45 Crore,"Park View City, Lahore",3,2,5 Marla,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_1_5_storey_5_marla_brand_new_house_in_park_view_city_lahore-54443243-1466-1.html,House,For Sale,6 hours ago
One Kanal Premium Quality Designer Solid Construction House For Sale Prime Location Reasonable Price,9.72 Crore,"DHA Phase 8 - Block X, DHA Phase 8",5,6,1 Kanal,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_block_x_one_kanal_premium_quality_designer_solid_construction_house_for_sale_prime_location_reasonable_price-54416917-1639-1.html,House,For Sale,4 hours ago
22 Marla Corner 7-Bed Most Beautiful Basement Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid &Amp; Commercial Market.,8.5 Crore,"DHA Phase 4 - Block BB, DHA Phase 4",7,7,1.1 Kanal,https://www.zameen.com/Property/dha_phase_4_dha_phase_4_-_block_bb_22_marla_corner_7-bed_most_beautiful_basement_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_amp_commercial_market-51944698-1590-1.html,House,For Sale,6 hours ago
5 Marla Brand New House For Sale,2.4 Crore,"Eden Boulevard Housing Scheme, College Road",5,6,5 Marla,https://www.zameen.com/Property/college_road_eden_boulevard_housing_scheme_5_marla_brand_new_house_for_sale-53458437-12447-1.html,House,For Sale,3 hours ago
8.75 Marla House For Sale,2.8 Crore,"Military Accounts Society - Block B, Military Accounts Housing Society",6,6,8.7 Marla,https://www.zameen.com/Property/military_accounts_housing_society_military_accounts_society_-_block_b_8_75_marla_house_for_sale-53459741-4031-1.html,House,For Sale,3 hours ago
8 Marla Brand New House For Sale,4 Crore,"PGECHS Phase 2, Punjab Govt Employees Society",6,6,10 Marla,https://www.zameen.com/Property/punjab_govt_employees_society_pgechs_phase_2_8_marla_brand_new_house_for_sale-53530409-4432-1.html,House,For Sale,3 hours ago
9.5 Marla Brand New House For Sale,3.1 Crore,"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal",5,6,9.5 Marla,https://www.zameen.com/Property/nasheman_e_iqbal_nasheman-e-iqbal_phase_2_9_5_marla_brand_new_house_for_sale-53610494-4071-1.html,House,For Sale,3 hours ago
"Fully Furnished Apartment On MM Alam Road, Lahore Cheapest Deal In Prime Location!",1.7 Crore,"Gulberg 3, Gulberg",1,1,2.2 Marla,https://www.zameen.com/Property/gulberg_gulberg_3_fully_furnished_apartment_on_mm_alam_road_lahore_cheapest_deal_in_prime_location-54322285-3824-1.html,Flat,For Sale,3 hours ago
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,1.5 Crore,"Park View City, Lahore",4,5,5 Marla,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-54407305-1466-1.html,House,For Sale,27 minutes ago
380 Sqft Full Furnished Flat For Sale In Sajad Center Johar Town H3 Market 55 Thousands Rentel Income Per Month Near Emporium Mall,68 Lakh,"Johar Town Phase 2 - Block H3, Johar Town Phase 2",1,1,1.7 Marla,https://www.zameen.com/Property/johar_town_phase_2_johar_town_phase_2_-_block_h3_380_sqft_full_furnished_flat_for_sale_in_sajad_center_johar_town_h3_market_55_thousands_rentel_income_per_month_near_emporium_mall-54248467-3968-1.html,Flat,For Sale,35 minutes ago
450 SQFT Full Furnished Flat For Sale in Tariq Center H3 Market 35 Thousands Rental income per month,55 Lakh,"Johar Town Phase 2 - Block H3, Johar Town Phase 2",1,1,2 Marla,https://www.zameen.com/Property/johar_town_phase_2_johar_town_phase_2_-_block_h3_450_sqft_full_furnished_flat_for_sale_in_tariq_center_h3_market_35_thousands_rental_income_per_month-54248469-3968-1.html,Flat,For Sale,35 minutes ago
15 Marla Owner Build house for sale in PCSIR Phase 1 Near canal road Near Tech society,6.5 Crore,"PCSIR Housing Scheme Phase 1, PCSIR Housing Scheme",5,5,15 Marla,https://www.zameen.com/Property/pcsir_housing_scheme_pcsir_housing_scheme_phase_1_15_marla_owner_build_house_for_sale_in_pcsir_phase_1_near_canal_road_near_tech_society-54248470-4139-1.html,House,For Sale,35 minutes ago
450 SQFT Full Furnished Flat For Sale in Tariq Center H3 Market 35 Thousands Rental income per month Near Emporium Mall Near Expo Near canal road,55 Lakh,"Johar Town Phase 2 - Block H3, Johar Town Phase 2",1,1,2 Marla,https://www.zameen.com/Property/johar_town_phase_2_johar_town_phase_2_-_block_h3_450_sqft_full_furnished_flat_for_sale_in_tariq_center_h3_market_35_thousands_rental_income_per_month_near_emporium_mall_near_expo_near_canal_road-54248471-3968-1.html,Flat,For Sale,36 minutes ago
375 SQ FEET Full Furnished Flat For Sale In Johar Town F Block,65 Lakh,"Johar Town Phase 1 - Block F, Johar Town Phase 1",1,1,1.7 Marla,https://www.zameen.com/Property/johar_town_phase_1_johar_town_phase_1_-_block_f_375_sq_feet_full_furnished_flat_for_sale_in_johar_town_f_block-54270746-3955-1.html,Flat,For Sale,39 minutes ago
12 Marla House For Sale In Johar Town Phase 2 Block H3 Near Canal Road Near Emporium Mall,5 Crore,"Johar Town Phase 2 - Block H3, Johar Town Phase 2",5,5,12 Marla,https://www.zameen.com/Property/johar_town_phase_2_johar_town_phase_2_-_block_h3_12_marla_house_for_sale_in_johar_town_phase_2_block_h3_near_canal_road_near_emporium_mall-54270748-3968-1.html,House,For Sale,40 minutes ago
15 Marla Double Storey House For Sale In Johar Town Phase 1 - Block G1 Near Doctors Hospital,7 Crore,"Johar Town Phase 1 - Block G1, Johar Town Phase 1",5,5,15 Marla,https://www.zameen.com/Property/johar_town_phase_1_johar_town_phase_1_-_block_g1_15_marla_double_storey_house_for_sale_in_johar_town_phase_1_-_block_g1_near_doctors_hospital-54270750-3959-1.html,House,For Sale,41 minutes ago
Brand New Apartment For Sale In Sector-S Askari-10,4.7 Crore,"Askari 10 - Sector S, Askari 10",4,5,12 Marla,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_brand_new_apartment_for_sale_in_sector-s_askari-10-54392999-21434-1.html,Flat,For Sale,9 hours ago
General Villa For Sale On Shami Road,20 Crore,"Shami Road, Cantt",5,6,1.5 Kanal,https://www.zameen.com/Property/cantt_shami_road_general_villa_for_sale_on_shami_road-54294872-3675-1.html,House,For Sale,9 hours ago
sale A House In Lahore Prime Location,5.45 Crore,"DHA Phase 7, DHA Defence",5,6,10 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_7_sale_a_house_in_lahore_prime_location-54452042-1450-1.html,House,For Sale,9 hours ago
NEAR TIM HORTON ONE KANAL BEAUTIFUL MODERN DESIGN MARVELOUS VILLA,11.85 Crore,"DHA Phase 6, DHA Defence",5,6,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_near_tim_horton_one_kanal_beautiful_modern_design_marvelous_villa-53587175-1448-1.html,House,For Sale,9 hours ago
5 Marla Luxury Modern Design House For Sale In DHA Lahore 9 Town,2.75 Crore,"DHA 9 Town, DHA Defence",3,4,5 Marla,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_luxury_modern_design_house_for_sale_in_dha_lahore_9_town-54441373-1452-1.html,House,For Sale,9 hours ago
10 Marla Double Storey Like Brand New House for Sale,5.5 Crore,"Allama Iqbal Town, Lahore",5,6,10 Marla,https://www.zameen.com/Property/lahore_allama_iqbal_town_10_marla_double_storey_like_brand_new_house_for_sale-54378217-58-1.html,House,For Sale,6 hours ago
5 MARLA BRAND NEW SPANISH DESIGN HOUSE FOR SALE NEAR PARK IN DHA 9 TOWN,2.52 Crore,"DHA 9 Town, DHA Defence",3,4,5 Marla,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_brand_new_spanish_design_house_for_sale_near_park_in_dha_9_town-54420760-1452-1.html,House,For Sale,6 hours ago
3 Marla House For Sale,1.35 Crore,"Bismillah Housing Scheme, GT Road",3,4,3 Marla,https://www.zameen.com/Property/gt_road_bismillah_housing_scheme_3_marla_house_for_sale-53997771-8446-1.html,House,For Sale,7 hours ago
5 MARLA HOUSE FOR SALE,2.55 Crore,"Bismillah Housing Scheme, GT Road",4,5,5 Marla,https://www.zameen.com/Property/gt_road_bismillah_housing_scheme_5_marla_house_for_sale-54225659-8446-1.html,House,For Sale,7 hours ago
On Excellent Location 5 Marla House For sale In Rs. 24500000 Only,2.45 Crore,"Bismillah Housing Scheme - Hussain Block, Bismillah Housing Scheme",N/A,N/A,5 Marla,https://www.zameen.com/Property/bismillah_housing_scheme_bismillah_housing_scheme_-_hussain_block_on_excellent_location_5_marla_house_for_sale_in_rs_24500000_only-54278287-15554-1.html,House,For Sale,7 hours ago
2 Kanal Brand New Victorian Faisal Rasul Design Most Beautiful Full Basement Fully Furnished Home Theater Swimming Pool Gym Bungalow Top Roof Garden For Sale At Prime Location of DHA Lahore Near To Park Masjid & DHA Raya Fairways Commercial,51 Crore,"DHA Phase 6 - Block K, DHA Phase 6",6,7,2 Kanal,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_2_kanal_brand_new_victorian_faisal_rasul_design_most_beautiful_full_basement_fully_furnished_home_theater_swimming_pool_gym_bungalow_top_roof_garden_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_dha_raya_fairways_commercial-51999705-1619-1.html,House,For Sale,6 hours ago
Brand New 5 Marla House Available In Park View City,1.6 Crore,"Park View City, Lahore",4,4,5 Marla,https://www.zameen.com/Property/lahore_park_view_city_brand_new_5_marla_house_available_in_park_view_city-52958510-1466-1.html,House,For Sale,6 hours ago
"Fully Furnished Apartments In wapda town Town Lowest Price, Highest Returns!",1.1 Crore,"Johar Town, Lahore",2,2,5 Marla,https://www.zameen.com/Property/lahore_johar_town_fully_furnished_apartments_in_wapda_town_town_lowest_price_highest_returns-54324971-93-1.html,Flat,For Sale,3 hours ago
Jubilee Town,4.15 Crore,"Jubilee Town, Lahore",5,5,10 Marla,https://www.zameen.com/Property/lahore_jubilee_town_jubilee_town-54450512-766-1.html,House,For Sale,4 hours ago
"10 Marla Modern 4-Bed Home For Sale Prime Location, Perfect For Families",5.3 Crore,"Askari 11 - Sector B, Askari 11",4,5,10 Marla,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_10_marla_modern_4-bed_home_for_sale_prime_location_perfect_for_families-52459120-15702-1.html,House,For Sale,4 hours ago
DHA Phase 6 | 1 Kanal Brand New Modern & Elegant Bungalow for Sale,7 Crore,"DHA Phase 8, DHA Defence",5,6,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_8_dha_phase_6_1_kanal_brand_new_modern_elegant_bungalow_for_sale-53549942-1451-1.html,House,For Sale,4 hours ago
Bungalow 14 Marla (Corner),6.7 Crore,"Cantt, Lahore",7,3,14 Marla,https://www.zameen.com/Property/lahore_cantt_bungalow_14_marla_corner-53885475-427-1.html,House,For Sale,4 hours ago
5 Marla Owner Build Double Storey House For Sale Near Emporium Mall,2.4 Crore,"Johar Town Phase 2 - Block J3, Johar Town Phase 2",4,4,5 Marla,https://www.zameen.com/Property/johar_town_phase_2_johar_town_phase_2_-_block_j3_5_marla_owner_build_double_storey_house_for_sale_near_emporium_mall-54270751-3972-1.html,House,For Sale,43 minutes ago
1 Kanal Modern Designed Luxury Bungalow for Sale At Prime Location In DHA Phase 7,7.5 Crore,"DHA Phase 7, DHA Defence",5,6,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_modern_designed_luxury_bungalow_for_sale_at_prime_location_in_dha_phase_7-54341581-1450-1.html,House,For Sale,46 minutes ago
"5 Marla Park-Facing Designer House for Sale in DHA Phase 9 Town, Lahore",2.3 Crore,"DHA 9 Town, DHA Defence",3,4,5 Marla,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_park-facing_designer_house_for_sale_in_dha_phase_9_town_lahore-54336930-1452-1.html,House,For Sale,49 minutes ago
10 Marla Luxury Brand New 4 Bedroom House Available For Sale In DHA Phase 7 Lahore,4.75 Crore,"DHA Phase 7, DHA Defence",4,5,10 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_7_10_marla_luxury_brand_new_4_bedroom_house_available_for_sale_in_dha_phase_7_lahore-54411372-1450-1.html,House,For Sale,52 minutes ago
2.5 Marla Double Storey House For Sale Gulshan Colony Near About Ashina Road Bank Stop Lahore,55 Lakh,"Chungi Amar Sadhu, Lahore",2,2,2.5 Marla,https://www.zameen.com/Property/lahore_chungi_amar_sadhu_2_5_marla_double_storey_house_for_sale_gulshan_colony_near_about_ashina_road_bank_stop_lahore-53450211-1511-1.html,House,For Sale,1 hour ago
2.5 Marla Brand New House For Sale Chungi amber sidhu Lahore,90 Lakh,"Chungi Amar Sadhu, Lahore",3,4,2.5 Marla,https://www.zameen.com/Property/lahore_chungi_amar_sadhu_2_5_marla_brand_new_house_for_sale_chungi_amber_sidhu_lahore-53988429-1511-1.html,House,For Sale,1 hour ago
3 Marla Double Story Brand New House For Sale Malik Choke Near About Bank Stop Chungi Amber Sidhu Lahore,92 Lakh,"Chungi Amar Sadhu, Lahore",3,3,3 Marla,https://www.zameen.com/Property/lahore_chungi_amar_sadhu_3_marla_double_story_brand_new_house_for_sale_malik_choke_near_about_bank_stop_chungi_amber_sidhu_lahore-53996647-1511-1.html,House,For Sale,1 hour ago
2.5 Marla Brand New House For Sale Malik Choke Near About Bank Stop Chungi Amber Sidhu Lahore,80 Lakh,"Chungi Amar Sadhu, Lahore",2,2,2.5 Marla,https://www.zameen.com/Property/lahore_chungi_amar_sadhu_2_5_marla_brand_new_house_for_sale_malik_choke_near_about_bank_stop_chungi_amber_sidhu_lahore-54119577-1511-1.html,House,For Sale,1 hour ago
1 Kanal Modern Bungalow Fully Automated Smart Home Prime DHA Phase 7,7.25 Crore,"DHA Phase 7, DHA Defence",4,5,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_modern_bungalow_fully_automated_smart_home_prime_dha_phase_7-54320071-1450-1.html,House,For Sale,9 hours ago
Latest Automated Smart Home | Small Indoor Pool In Master Bath | Prime Location DHA Phase 6 | 100% Original Deal,8.3 Crore,"DHA Phase 6, DHA Defence",5,6,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_latest_automated_smart_home_small_indoor_pool_in_master_bath_prime_location_dha_phase_6_100_original_deal-54319874-1448-1.html,House,For Sale,9 hours ago
10 Marla Luxury Facing Park House Home Theater DHA Phase 5,5.8 Crore,"DHA Phase 5, DHA Defence",4,5,10 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_5_10_marla_luxury_facing_park_house_home_theater_dha_phase_5-54321281-1447-1.html,House,For Sale,9 hours ago
Mini Swimming Pool | 5 Marla Modern Design House Available For Sale In DHA 9 Town Lahore,3.15 Crore,"DHA 9 Town, DHA Defence",3,4,5 Marla,https://www.zameen.com/Property/dha_defence_dha_9_town_mini_swimming_pool_5_marla_modern_design_house_available_for_sale_in_dha_9_town_lahore-54321455-1452-1.html,House,For Sale,9 hours ago
New Classic Designe Brand New House For Sale,12.55 Crore,"DHA Phase 6, DHA Defence",5,6,1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_new_classic_designe_brand_new_house_for_sale-54356250-1448-1.html,House,For Sale,9 hours ago
10 Marla Corner House For Sale,4.9 Crore,"Bismillah Housing Scheme, GT Road",6,6,10 Marla,https://www.zameen.com/Property/gt_road_bismillah_housing_scheme_10_marla_corner_house_for_sale-54418542-8446-1.html,House,For Sale,7 hours ago
rand New 5 Marla House for Sale Executive Block in Park View City Lahore,2.25 Crore,"Park View City - Executive Block, Park View City",4,4,5 Marla,https://www.zameen.com/Property/park_view_city_park_view_city_-_executive_block_rand_new_5_marla_house_for_sale_executive_block_in_park_view_city_lahore-54452451-17598-1.html,House,For Sale,7 hours ago
